stratum,reported_km,component,endpoint,n_a,n_b,gm_ratio,ci_lo,ci_hi,half_width_ln,sd_ratio,ks,verdict
mini@133km,133.2071,090,Ds575,2500,2500,0.999049,0.994981,1.003134,0.004080,0.9745,0.0248,certified
mini@133km,133.2071,090,Ds595,2500,2500,1.000616,0.998222,1.003016,0.002395,0.9794,0.0220,certified
mini@133km,133.2071,090,pSA(0.01),2500,2500,0.997741,0.990250,1.005289,0.007536,1.0053,0.0292,certified
mini@133km,133.2071,090,pSA(0.02),2500,2500,0.997921,0.990441,1.005457,0.007524,1.0053,0.0280,certified
mini@133km,133.2071,090,pSA(0.03),2500,2500,0.998224,0.990772,1.005732,0.007493,1.0077,0.0284,certified
mini@133km,133.2071,090,pSA(0.05),2500,2500,0.999550,0.992171,1.006983,0.007409,1.0010,0.0192,certified
mini@133km,133.2071,090,pSA(0.075),2500,2500,1.000976,0.993660,1.008346,0.007336,1.0162,0.0160,certified
mini@133km,133.2071,090,pSA(0.1),2500,2500,1.002770,0.994979,1.010623,0.007800,0.9948,0.0232,certified
mini@133km,133.2071,090,pSA(0.15),2500,2500,1.005190,0.996730,1.013723,0.008453,1.0131,0.0192,certified
mini@133km,133.2071,090,pSA(0.2),2500,2500,0.998006,0.989154,1.006937,0.008909,0.9891,0.0204,certified
mini@133km,133.2071,090,pSA(0.25),2500,2500,0.997957,0.988776,1.007223,0.009242,1.0061,0.0260,certified
mini@133km,133.2071,090,pSA(0.3),2500,2500,1.005761,0.995958,1.015660,0.009795,0.9668,0.0316,certified
mini@133km,133.2071,090,pSA(0.4),2500,2500,1.002669,0.992547,1.012895,0.010146,0.9759,0.0228,certified
mini@133km,133.2071,090,pSA(0.5),2500,2500,1.000763,0.990343,1.011293,0.010467,0.9957,0.0216,certified
mini@133km,133.2071,090,pSA(0.75),2500,2500,1.006500,0.995127,1.018004,0.011364,0.9977,0.0304,certified
mini@133km,133.2071,090,pSA(1),2500,2500,1.009019,0.997146,1.021033,0.011837,0.9811,0.0260,undetermined
mini@133km,133.2071,090,pSA(1.5),2500,2500,1.002446,0.990006,1.015042,0.012487,1.0114,0.0180,certified
mini@133km,133.2071,090,pSA(2),2500,2500,0.995358,0.982891,1.007982,0.012604,0.9935,0.0192,certified
mini@133km,133.2071,090,pSA(3),2500,2500,0.989903,0.977831,1.002124,0.012270,1.0083,0.0244,undetermined
mini@133km,133.2071,090,pSA(4),2500,2500,0.998619,0.986921,1.010456,0.011784,1.0215,0.0240,certified
mini@133km,133.2071,090,pSA(5),2500,2500,0.995813,0.984679,1.007073,0.011244,1.0014,0.0216,certified
mini@133km,133.2071,000,PGA,2500,2500,1.003755,0.996286,1.011279,0.007468,1.0253,0.0304,certified
mini@133km,133.2071,000,PGV,2500,2500,1.004045,0.996522,1.011625,0.007521,0.9623,0.0188,certified
mini@133km,133.2071,000,AI,2500,2500,1.000026,0.990514,1.009629,0.009557,0.9935,0.0164,certified
mini@133km,133.2071,000,CAV,2500,2500,0.999837,0.995316,1.004379,0.004532,0.9979,0.0196,certified
mini@133km,133.2071,000,Ds575,2500,2500,0.999221,0.995178,1.003281,0.004055,0.9921,0.0220,certified
mini@133km,133.2071,000,Ds595,2500,2500,1.000835,0.998380,1.003296,0.002456,1.0081,0.0164,certified
mini@133km,133.2071,000,pSA(0.01),2500,2500,1.003765,0.996300,1.011286,0.007465,1.0255,0.0328,certified
mini@133km,133.2071,000,pSA(0.02),2500,2500,1.003867,0.996414,1.011375,0.007452,1.0268,0.0328,certified
mini@133km,133.2071,000,pSA(0.03),2500,2500,1.004187,0.996758,1.011673,0.007426,1.0287,0.0316,certified
mini@133km,133.2071,000,pSA(0.05),2500,2500,1.003766,0.996560,1.011024,0.007205,1.0111,0.0256,certified
mini@133km,133.2071,000,pSA(0.075),2500,2500,1.004619,0.997337,1.011954,0.007275,1.0299,0.0292,certified
mini@133km,133.2071,000,pSA(0.1),2500,2500,1.004332,0.996682,1.012042,0.007647,1.0203,0.0292,certified
mini@133km,133.2071,000,pSA(0.15),2500,2500,0.997379,0.989011,1.005818,0.008425,1.0079,0.0192,certified
mini@133km,133.2071,000,pSA(0.2),2500,2500,0.992258,0.983316,1.001282,0.009053,1.0076,0.0344,certified
mini@133km,133.2071,000,pSA(0.25),2500,2500,1.009249,0.999838,1.018750,0.009369,1.0029,0.0296,certified
mini@133km,133.2071,000,pSA(0.3),2500,2500,0.998813,0.989251,1.008468,0.009619,0.9967,0.0184,certified
mini@133km,133.2071,000,pSA(0.4),2500,2500,0.997483,0.987330,1.007739,0.010230,0.9876,0.0228,certified
mini@133km,133.2071,000,pSA(0.5),2500,2500,0.996228,0.985845,1.006721,0.010477,1.0260,0.0156,certified
mini@133km,133.2071,000,pSA(0.75),2500,2500,1.007588,0.996236,1.019069,0.011330,1.0205,0.0268,certified
mini@133km,133.2071,000,pSA(1),2500,2500,1.002977,0.991212,1.014882,0.011800,0.9846,0.0164,certified
mini@133km,133.2071,000,pSA(1.5),2500,2500,1.000908,0.988547,1.013424,0.012427,0.9891,0.0212,certified
mini@133km,133.2071,000,pSA(2),2500,2500,1.000308,0.987874,1.012898,0.012508,1.0053,0.0252,certified
mini@133km,133.2071,000,pSA(3),2500,2500,1.003323,0.990994,1.015805,0.012364,1.0171,0.0228,certified
mini@133km,133.2071,000,pSA(4),2500,2500,0.986016,0.974517,0.997651,0.011731,0.9910,0.0324,undetermined
mini@133km,133.2071,000,pSA(5),2500,2500,0.996713,0.985567,1.007986,0.011246,1.0406,0.0324,certified
mini@133km,133.2071,ver,PGA,2500,2500,1.004267,0.996776,1.011813,0.007487,0.9930,0.0248,certified
mini@133km,133.2071,ver,PGV,2500,2500,0.999360,0.991653,1.007127,0.007741,0.9699,0.0164,certified
mini@133km,133.2071,ver,AI,2500,2500,1.004718,0.995027,1.014503,0.009692,0.9971,0.0252,certified
mini@133km,133.2071,ver,CAV,2500,2500,1.001774,0.997176,1.006395,0.004601,0.9980,0.0224,certified
mini@133km,133.2071,ver,Ds575,2500,2500,1.000412,0.996430,1.004409,0.003988,1.0023,0.0212,certified
mini@133km,133.2071,ver,Ds595,2500,2500,1.000238,0.997790,1.002693,0.002451,0.9968,0.0204,certified
mini@133km,133.2071,ver,pSA(0.01),2500,2500,1.004271,0.996784,1.011814,0.007483,0.9933,0.0240,certified
mini@133km,133.2071,ver,pSA(0.02),2500,2500,1.004289,0.996814,1.011820,0.007471,0.9944,0.0272,certified
mini@133km,133.2071,ver,pSA(0.03),2500,2500,1.004505,0.997059,1.012007,0.007440,0.9946,0.0248,certified
mini@133km,133.2071,ver,pSA(0.05),2500,2500,1.004057,0.996770,1.011397,0.007284,0.9960,0.0224,certified
mini@133km,133.2071,ver,pSA(0.075),2500,2500,1.002394,0.995017,1.009826,0.007387,0.9719,0.0256,certified
mini@133km,133.2071,ver,pSA(0.1),2500,2500,1.008013,1.000222,1.015864,0.007759,0.9976,0.0256,certified
mini@133km,133.2071,ver,pSA(0.15),2500,2500,1.000151,0.991807,1.008565,0.008378,0.9993,0.0176,certified
mini@133km,133.2071,ver,pSA(0.2),2500,2500,0.997166,0.988272,1.006140,0.008959,1.0243,0.0296,certified
mini@133km,133.2071,ver,pSA(0.25),2500,2500,1.009923,1.000597,1.019335,0.009277,0.9877,0.0308,certified
mini@133km,133.2071,ver,pSA(0.3),2500,2500,1.016653,1.006868,1.026533,0.009671,0.9591,0.0448,undetermined
mini@133km,133.2071,ver,pSA(0.4),2500,2500,1.000385,0.990263,1.010610,0.010169,0.9948,0.0132,certified
mini@133km,133.2071,ver,pSA(0.5),2500,2500,0.992038,0.981757,1.002426,0.010417,0.9913,0.0280,certified
mini@133km,133.2071,ver,pSA(0.75),2500,2500,0.994443,0.983148,1.005869,0.011424,1.0225,0.0220,certified
mini@133km,133.2071,ver,pSA(1),2500,2500,0.999865,0.987914,1.011960,0.012024,0.9772,0.0252,certified
mini@133km,133.2071,ver,pSA(1.5),2500,2500,1.013129,1.000501,1.025916,0.012543,1.0069,0.0324,undetermined
mini@133km,133.2071,ver,pSA(2),2500,2500,1.009955,0.997252,1.022820,0.012657,0.9806,0.0252,undetermined
mini@133km,133.2071,ver,pSA(3),2500,2500,1.013184,1.000599,1.025928,0.012499,1.0071,0.0360,undetermined
mini@133km,133.2071,ver,pSA(4),2500,2500,1.013293,1.001333,1.025395,0.011873,0.9879,0.0384,undetermined
mini@133km,133.2071,ver,pSA(5),2500,2500,1.017682,1.006212,1.029282,0.011334,0.9736,0.0412,undetermined
mini@153km,152.9180,090,PGA,2500,2500,0.999639,0.992343,1.006989,0.007326,0.9890,0.0132,certified
mini@153km,152.9180,090,PGV,2500,2500,1.003931,0.996435,1.011484,0.007495,0.9989,0.0264,certified
mini@153km,152.9180,090,AI,2500,2500,1.006779,0.997409,1.016237,0.009351,1.0077,0.0296,certified
mini@153km,152.9180,090,CAV,2500,2500,1.003066,0.998587,1.007565,0.004475,1.0121,0.0276,certified
mini@153km,152.9180,090,Ds575,2500,2500,1.000447,0.996702,1.004205,0.003750,0.9880,0.0208,certified
mini@153km,152.9180,090,Ds595,2500,2500,0.999754,0.997484,1.002028,0.002272,1.0350,0.0200,certified
mini@153km,152.9180,090,pSA(0.01),2500,2500,0.999634,0.992340,1.006981,0.007323,0.9891,0.0132,certified
mini@153km,152.9180,090,pSA(0.02),2500,2500,0.999610,0.992326,1.006948,0.007313,0.9892,0.0128,certified
mini@153km,152.9180,090,pSA(0.03),2500,2500,0.999687,0.992430,1.006997,0.007286,0.9912,0.0148,certified
mini@153km,152.9180,090,pSA(0.05),2500,2500,1.001265,0.994035,1.008548,0.007247,0.9939,0.0140,certified
mini@153km,152.9180,090,pSA(0.075),2500,2500,1.001705,0.994512,1.008949,0.007206,1.0135,0.0224,certified
mini@153km,152.9180,090,pSA(0.1),2500,2500,0.999064,0.991469,1.006718,0.007631,0.9765,0.0220,certified
mini@153km,152.9180,090,pSA(0.15),2500,2500,1.006235,0.998091,1.014445,0.008126,0.9984,0.0280,certified
mini@153km,152.9180,090,pSA(0.2),2500,2500,1.001194,0.992715,1.009746,0.008505,1.0053,0.0232,certified
mini@153km,152.9180,090,pSA(0.25),2500,2500,1.001937,0.992851,1.011106,0.009110,0.9715,0.0208,certified
mini@153km,152.9180,090,pSA(0.3),2500,2500,1.003545,0.994294,1.012883,0.009261,0.9499,0.0268,certified
mini@153km,152.9180,090,pSA(0.4),2500,2500,1.001037,0.991365,1.010803,0.009709,1.0222,0.0236,certified
mini@153km,152.9180,090,pSA(0.5),2500,2500,0.999965,0.989963,1.010068,0.010053,1.0155,0.0272,certified
mini@153km,152.9180,090,pSA(0.75),2500,2500,1.008179,0.997352,1.019123,0.010797,0.9956,0.0296,certified
mini@153km,152.9180,090,pSA(1),2500,2500,1.012133,1.000682,1.023714,0.011377,0.9911,0.0352,undetermined
mini@153km,152.9180,090,pSA(1.5),2500,2500,0.998968,0.987319,1.010756,0.011730,0.9856,0.0184,certified
mini@153km,152.9180,090,pSA(2),2500,2500,0.995610,0.983552,1.007816,0.012186,1.0080,0.0256,certified
mini@153km,152.9180,090,pSA(3),2500,2500,0.999671,0.987358,1.012138,0.012394,1.0078,0.0148,certified
mini@153km,152.9180,090,pSA(4),2500,2500,1.001351,0.989736,1.013102,0.011667,1.0261,0.0340,certified
mini@153km,152.9180,090,pSA(5),2500,2500,1.004470,0.993398,1.015665,0.011084,1.0072,0.0252,certified
mini@153km,152.9180,000,PGA,2500,2500,1.009333,1.002005,1.016715,0.007287,1.0186,0.0468,certified
mini@153km,152.9180,000,PGV,2500,2500,0.999053,0.991657,1.006504,0.007430,0.9748,0.0192,certified
mini@153km,152.9180,000,AI,2500,2500,1.002324,0.992989,1.011747,0.009357,0.9989,0.0132,certified
mini@153km,152.9180,000,CAV,2500,2500,1.000366,0.995919,1.004833,0.004456,0.9974,0.0156,certified
mini@153km,152.9180,000,Ds575,2500,2500,0.998786,0.995045,1.002542,0.003753,0.9996,0.0172,certified
mini@153km,152.9180,000,Ds595,2500,2500,0.998043,0.995753,1.000339,0.002298,1.0181,0.0300,certified
mini@153km,152.9180,000,pSA(0.01),2500,2500,1.009299,1.001973,1.016678,0.007285,1.0186,0.0484,certified
mini@153km,152.9180,000,pSA(0.02),2500,2500,1.009167,1.001851,1.016536,0.007276,1.0185,0.0472,certified
mini@153km,152.9180,000,pSA(0.03),2500,2500,1.008978,1.001684,1.016324,0.007255,1.0160,0.0428,certified
mini@153km,152.9180,000,pSA(0.05),2500,2500,1.009289,1.002121,1.016508,0.007127,1.0217,0.0420,certified
mini@153km,152.9180,000,pSA(0.075),2500,2500,1.008371,1.001105,1.015689,0.007231,1.0259,0.0356,certified
mini@153km,152.9180,000,pSA(0.1),2500,2500,1.005896,0.998250,1.013599,0.007630,1.0082,0.0280,certified
mini@153km,152.9180,000,pSA(0.15),2500,2500,1.006655,0.998366,1.015013,0.008268,1.0142,0.0240,certified
mini@153km,152.9180,000,pSA(0.2),2500,2500,1.004828,0.996202,1.013528,0.008621,1.0078,0.0204,certified
mini@153km,152.9180,000,pSA(0.25),2500,2500,1.010738,1.001667,1.019891,0.009015,1.0229,0.0404,certified
mini@153km,152.9180,000,pSA(0.3),2500,2500,1.001952,0.992690,1.011300,0.009287,1.0026,0.0148,certified
mini@153km,152.9180,000,pSA(0.4),2500,2500,1.003545,0.993774,1.013412,0.009784,0.9871,0.0144,certified
mini@153km,152.9180,000,pSA(0.5),2500,2500,1.004641,0.994591,1.014793,0.010054,1.0264,0.0176,certified
mini@153km,152.9180,000,pSA(0.75),2500,2500,1.006398,0.995450,1.017467,0.010938,0.9976,0.0268,certified
mini@153km,152.9180,000,pSA(1),2500,2500,0.997274,0.985926,1.008753,0.011444,0.9822,0.0204,certified
mini@153km,152.9180,000,pSA(1.5),2500,2500,1.014325,1.002408,1.026384,0.011819,0.9968,0.0428,undetermined
mini@153km,152.9180,000,pSA(2),2500,2500,0.997760,0.985706,1.009961,0.012155,1.0006,0.0196,certified
mini@153km,152.9180,000,pSA(3),2500,2500,0.999651,0.987601,1.011848,0.012127,1.0148,0.0120,certified
mini@153km,152.9180,000,pSA(4),2500,2500,0.981414,0.970221,0.992737,0.011471,1.0038,0.0372,undetermined
mini@153km,152.9180,000,pSA(5),2500,2500,0.990965,0.979882,1.002175,0.011248,1.0287,0.0296,undetermined
mini@153km,152.9180,ver,PGA,2500,2500,1.001602,0.994298,1.008959,0.007318,1.0007,0.0212,certified
mini@153km,152.9180,ver,PGV,2500,2500,0.995266,0.987846,1.002741,0.007483,0.9889,0.0320,certified
mini@153km,152.9180,ver,AI,2500,2500,1.004607,0.995182,1.014122,0.009426,1.0155,0.0304,certified
mini@153km,152.9180,ver,CAV,2500,2500,1.002262,0.997778,1.006767,0.004485,1.0073,0.0232,certified
mini@153km,152.9180,ver,Ds575,2500,2500,1.001984,0.998218,1.005764,0.003766,0.9842,0.0260,certified
mini@153km,152.9180,ver,Ds595,2500,2500,1.000274,0.998011,1.002543,0.002265,1.0089,0.0128,certified
mini@153km,152.9180,ver,pSA(0.01),2500,2500,1.001620,0.994319,1.008975,0.007316,1.0007,0.0212,certified
mini@153km,152.9180,ver,pSA(0.02),2500,2500,1.001709,0.994417,1.009054,0.007306,1.0007,0.0220,certified
mini@153km,152.9180,ver,pSA(0.03),2500,2500,1.001758,0.994489,1.009079,0.007282,1.0025,0.0200,certified
mini@153km,152.9180,ver,pSA(0.05),2500,2500,1.002721,0.995518,1.009977,0.007210,0.9990,0.0232,certified
mini@153km,152.9180,ver,pSA(0.075),2500,2500,0.998029,0.990928,1.005181,0.007140,0.9831,0.0216,certified
mini@153km,152.9180,ver,pSA(0.1),2500,2500,1.002797,0.995257,1.010394,0.007548,0.9804,0.0244,certified
mini@153km,152.9180,ver,pSA(0.15),2500,2500,1.002992,0.995000,1.011049,0.008001,0.9940,0.0164,certified
mini@153km,152.9180,ver,pSA(0.2),2500,2500,1.003337,0.994714,1.012034,0.008631,0.9924,0.0148,certified
mini@153km,152.9180,ver,pSA(0.25),2500,2500,1.011999,1.002840,1.021243,0.009092,1.0067,0.0360,undetermined
mini@153km,152.9180,ver,pSA(0.3),2500,2500,1.009217,0.999761,1.018763,0.009414,1.0021,0.0252,certified
mini@153km,152.9180,ver,pSA(0.4),2500,2500,1.000598,0.990831,1.010463,0.009810,0.9836,0.0232,certified
mini@153km,152.9180,ver,pSA(0.5),2500,2500,1.001405,0.991183,1.011732,0.010260,1.0201,0.0192,certified
mini@153km,152.9180,ver,pSA(0.75),2500,2500,0.996574,0.985894,1.007370,0.010774,1.0043,0.0172,certified
mini@153km,152.9180,ver,pSA(1),2500,2500,0.991569,0.980349,1.002917,0.011380,0.9672,0.0276,certified
mini@153km,152.9180,ver,pSA(1.5),2500,2500,1.002581,0.990650,1.014656,0.011972,0.9948,0.0192,certified
mini@153km,152.9180,ver,pSA(2),2500,2500,0.991150,0.979161,1.003286,0.012170,1.0062,0.0460,undetermined
mini@153km,152.9180,ver,pSA(3),2500,2500,1.000345,0.988336,1.012500,0.012078,0.9857,0.0176,certified
mini@153km,152.9180,ver,pSA(4),2500,2500,1.004216,0.992836,1.015727,0.011397,1.0029,0.0200,certified
mini@153km,152.9180,ver,pSA(5),2500,2500,1.002168,0.991141,1.013317,0.011064,1.0014,0.0168,certified
