stratum,reported_km,component,endpoint,n_a,n_b,gm_ratio,ci_lo,ci_hi,half_width_ln,sd_ratio,ks,verdict
mini@27km,26.8361,000,pSA(2),2500,2500,0.998790,0.985245,1.012521,0.013654,1.0124,0.0168,certified
mini@27km,26.8361,000,pSA(3),2500,2500,0.988647,0.975944,1.001515,0.012932,0.9788,0.0404,undetermined
mini@27km,26.8361,000,pSA(4),2500,2500,0.996373,0.984396,1.008496,0.012094,0.9842,0.0208,certified
mini@27km,26.8361,000,pSA(5),2500,2500,1.003022,0.991596,1.014580,0.011457,0.9963,0.0160,certified
mini@27km,26.8361,ver,PGA,2500,2500,0.996658,0.988500,1.004883,0.008219,0.9883,0.0280,certified
mini@27km,26.8361,ver,PGV,2500,2500,0.985913,0.977382,0.994519,0.008691,0.9778,0.0452,undetermined
mini@27km,26.8361,ver,AI,2500,2500,0.999820,0.989065,1.010693,0.010816,0.9917,0.0220,certified
mini@27km,26.8361,ver,CAV,2500,2500,1.000571,0.995440,1.005729,0.005141,0.9930,0.0184,certified
mini@27km,26.8361,ver,Ds575,2500,2500,0.999145,0.994002,1.004315,0.005161,1.0233,0.0168,certified
mini@27km,26.8361,ver,Ds595,2500,2500,0.999176,0.996180,1.002182,0.003003,1.0001,0.0164,certified
mini@27km,26.8361,ver,pSA(0.01),2500,2500,0.996731,0.988582,1.004946,0.008209,0.9879,0.0272,certified
mini@27km,26.8361,ver,pSA(0.02),2500,2500,0.997181,0.989061,1.005367,0.008176,0.9875,0.0280,certified
mini@27km,26.8361,ver,pSA(0.03),2500,2500,0.997917,0.989912,1.005987,0.008054,0.9907,0.0204,certified
mini@27km,26.8361,ver,pSA(0.05),2500,2500,1.004607,0.996821,1.012453,0.007780,0.9865,0.0196,certified
mini@27km,26.8361,ver,pSA(0.075),2500,2500,0.994327,0.986247,1.002474,0.008160,1.0250,0.0328,certified
mini@27km,26.8361,ver,pSA(0.1),2500,2500,0.995751,0.987117,1.004460,0.008708,1.0119,0.0204,certified
mini@27km,26.8361,ver,pSA(0.15),2500,2500,1.006278,0.996538,1.016113,0.009726,0.9867,0.0312,certified
mini@27km,26.8361,ver,pSA(0.2),2500,2500,0.999624,0.989372,1.009982,0.010309,1.0192,0.0196,certified
mini@27km,26.8361,ver,pSA(0.25),2500,2500,0.993996,0.983385,1.004723,0.010733,0.9885,0.0292,certified
mini@27km,26.8361,ver,pSA(0.3),2500,2500,0.994099,0.982951,1.005374,0.011278,0.9870,0.0312,certified
mini@27km,26.8361,ver,pSA(0.4),2500,2500,0.994810,0.982809,1.006958,0.012137,0.9625,0.0332,certified
